,virus,ID,accession,country,city,date
67,EBOV,20143659,KR653256,SLE,Koinadugu,2014-11-03
68,EBOV,20143716,KR653292,SLE,Moyamba,2014-11-04
69,EBOV,20143753,KR653236,SLE,Tonkolili,2014-11-05
70,EBOV,20143796,KR653257,SLE,Moyamba,2014-11-05
71,EBOV,20143918,KR653240,SLE,WesternRural,2014-11-06
72,EBOV,20143938,KR653264,SLE,Koinadugu,2014-11-07
73,EBOV,20143964,KR653242,SLE,Bo,2014-11-07
74,EBOV,20144192,KR653238,SLE,Bombali,2014-11-08
75,EBOV,20144521,KR653271,SLE,Kono,2014-11-12
76,EBOV,20144610,KR653270,SLE,Tonkolili,2014-11-12
77,EBOV,20144819,KR653299,SLE,Moyamba,2014-11-15
78,EBOV,20144820,KR653243,SLE,Moyamba,2014-11-15
79,EBOV,20144837,KR653259,SLE,Bombali,2014-11-14
80,EBOV,20144865,KR653231,SLE,PortLoko,2014-11-13
81,EBOV,20145835,KR653295,SLE,Tonkolili,2014-11-25
82,EBOV,20145853,KR653290,SLE,Pujehun,2014-11-26
83,EBOV,20146001,KR653237,SLE,Kono,2014-11-24
84,EBOV,20146553,KR653224,SLE,Koinadugu,2014-12-22
85,EBOV,20146578,KR653281,SLE,Koinadugu,2014-12-26
86,EBOV,Makona-201403147,KP240931,SLE,?,2014-09-13
87,EBOV,Makona-201403261,KP240932,LBR,?,2014-09-26
88,EBOV,Makona-GE1,KP728283,SLE,WesternArea,2014-11-21
264,EBOV,EM_000015,KR817067,GIN,Macenta,2014-09-01
265,EBOV,EM_000027,KR817068,GIN,?,2014-09-01
266,EBOV,EM_000028,KR817069,GIN,Macenta,2014-09-01
267,EBOV,EM_000127,KR817070,GIN,Gueckedou,2014-09-04
268,EBOV,EM_000128,KR817071,GIN,Gueckedou,2014-09-04
269,EBOV,EM_000218,KR817072,GIN,Macenta,2014-09-07
270,EBOV,EM_000219,KR817073,GIN,Macenta,2014-09-07
271,EBOV,EM_000321,KR817074,GIN,Macenta,2014-09-09
272,EBOV,EM_000457,KR817075,GIN,Macenta,2014-09-12
273,EBOV,EM_000500,KR817076,GIN,Macenta,2014-09-13
274,EBOV,EM_000501,KR817077,GIN,Macenta,2014-09-13
275,EBOV,EM_000502,KR817078,GIN,Macenta,2014-09-13
276,EBOV,EM_000706,KR817079,GIN,Nzerekore,2014-09-21
277,EBOV,EM_000707,KR817080,GIN,Gueckedou,2014-09-22
278,EBOV,EM_000921,KR817081,GIN,Macenta,2014-09-29
279,EBOV,EM_000925,KR817082,GIN,Macenta,2014-09-29
280,EBOV,EM_000934,KR817083,GIN,Gueckedou,2014-09-29
281,EBOV,EM_000958,KR817084,GIN,Nzerekore,2014-09-30
282,EBOV,EM_000968,KR817085,GIN,Macenta,2014-10-01
283,EBOV,EM_000982,KR817086,GIN,Macenta,2014-10-01
284,EBOV,EM_000983,KR817087,GIN,Macenta,2014-10-01
285,EBOV,EM_001101,KR817088,GIN,Macenta,2014-10-05
286,EBOV,EM_001102,KR817089,GIN,Lola,2014-10-05
287,EBOV,EM_004059,KR817090,GIN,Kissidougou,2014-12-20
288,EBOV,EM_004085,KR817091,GIN,Kissidougou,2014-12-19
289,EBOV,EM_004192,KR817092,GIN,Faranah,2014-12-22
290,EBOV,EM_004201,KR817093,GIN,Kissidougou,2014-12-24
291,EBOV,EM_004259,KR817094,GIN,Kissidougou,2014-12-26
292,EBOV,EM_004290,KR817095,GIN,Kissidougou,2014-12-27
304,EBOV,EM_074335,KR817107,?,?,2014-07-18
305,EBOV,EM_074349,KR817108,LBR,Lofa,2014-07-22
306,EBOV,EM_074350,KR817109,LBR,Lofa,2014-07-22
307,EBOV,EM_074351,KR817110,LBR,Lofa,2014-07-22
308,EBOV,EM_074352,KR817111,LBR,Lofa,2014-07-22
309,EBOV,EM_074353,KR817112,LBR,Lofa,2014-07-22
310,EBOV,EM_074354,KR817113,GIN,Gueckedou,2014-07-22
311,EBOV,EM_074391,KR817114,LBR,Lofa,2014-07-26
312,EBOV,EM_074392,KR817115,LBR,?,2014-07-25
313,EBOV,EM_074436,KR817116,GIN,Nzerekore,2014-08-01
314,EBOV,EM_074437,KR817117,GIN,Nzerekore,2014-08-01
315,EBOV,EM_074438,KR817118,GIN,Nzerekore,2014-08-01
316,EBOV,EM_074439,KR817119,GIN,Nzerekore,2014-08-01
317,EBOV,EM_074461,KR817120,GIN,Gueckedou,2014-08-04
